Date,Tweet,User,Location,Belief,Keywords_used
11/17/2020,I have 5 people in my neighborhood who died from The Corona virus And some people think this is a joke or its not real NO ITS VERY REAL coronavirus Covid19 Spread the word,b'SILVERGIRL790',b'Cookie a big Fan of Eli',.,keywords
11/17/2020,jimbeller RepMattGaetz Cancelling lockdowns will not kill grandma This virus has a 99 survival rate My friends grandma that is about 90 is already basically on her death bed and in a nursing home got corona Didnt get any sicker and in a week it was gone,b'ForstieCatrice',b'',.,keywords
11/17/2020,In an alternate reality mask mandates for corona virus lead to people fully embracing masksthere is a permanent benefit from wearing masks People will dawn full on face coverings masks and helmets in an effort to hide their true identities and vigilantes will happen,b'The_Guido_King',"b'Chicago, IL'",.,keywords
11/17/2020,Corona Cuts are alive and well Get your mop cut today2 Barbers louiesbarbershop barbershop barber jolietbarbershop coronacuts haircut onwardandforward Joliet Illinois,b'LouieBarbershop',"b'Joliet, IL'",.,keywords
11/17/2020,Drewmega Theres a chance my kids wont be flying down because of the corona virus spike and it kills me,b'RealQueenBrie',"b'Phoenix, AZ'",.,keywords
11/17/2020,has noticed that the CORONACOVID era has added to our vocabulary TV calls me and mine a Bubble others make reference to groups teams cohorts tribes clans and this mornings reference from a Dr at UC Davis Med CenterIm part of a PODCan yall add to the list,b'JimmyDivoux',b'Sacramento CA',.,keywords
11/17/2020,Everybody sliding to one spot might not be the best move for Thanksgiving this year As traditional and needed as it may be this Corona shit is legit,b'T_DaVillain',b'Night City ',.,keywords
11/17/2020,opnauticus But there IS research because I was invited into a study where they test your blood breast milk and your babies blood and poop But I didnt qualify because my corona was too long ago,b'tessleberry',"b'Milwaukee, WI'",.,keywords
11/17/2020,After graduating in 2011 I saved for 9 years and made a huge payment in Feb 2020 to pay off all of my loans not realizing Corona was around the corner I still think we should cancel student debt Why Because Im not shitty and actually care about people other than myself,b'FlanBrain',"b'Seattle, WA'",.,keywords
11/17/2020,This year is the year kids are going to know their parents brought all those gifts Santa got corona aint no way he been to everybodys house and didnt catch it,b'Team_danix3',b'in these niggas dream ',.,keywords
11/17/2020,JudieGanul meanjean99 We been living under corona too long My brain is mushy on separation of powers and the legislative process,b'AC_NoChill',"b'Saline District, CN, IT. '",.,keywords
11/17/2020,Im having a moral dilemma because I hate breastfeeding like a lot Its hard and it hurts But I feel like Im a bad person if I dont because breast milk has antibodies and I had corona and so if I can possibly give covid antibodies to my newborn I really have to right,b'tessleberry',"b'Milwaukee, WI'",.,keywords
11/17/2020,Two people at my job have now testing positive for corona and we are still open,b'ProfessorKaos62',b'YouTube: ProfessorKaos',.,keywords
11/17/2020,Do yall be looking through your junk emails and just laugh I have one that says I died from the corona virus and some lady says shes my beneficiary and shes about to claim 55 million from me like word I got it like that,b'__GoddessV__',"b'Nashville, TN'",.,keywords
11/17/2020,4everNeverTrump KristiNoem is the worst Governor in America People in South Dakota cannot comprehend why they are suffering and dying because she and The Republicon party have lied insistently about the deadly Corona virus TrumpVirus TrumpLiedPeopleDied BidenHarrisToEndThisNightmare,b'butchcat1',b'PaulRehderSalon Winnetka ',.,keywords
11/17/2020,realDonaldTrump Nice try WE ARE GETTING CLOBBERED by the CORONA VIRUS Get out of the way and let true leadership and support to the American people begin,b'MegoutMcgee',"b'Rochester, NY'",.,keywords
11/17/2020,maga morningjoe Tantrum child in WH for 64 more days And SenateGOP HouseGOP cowtow to this infantile but really deadly behavior as millions get corona virus and not a fucking thing is being done,b'janetika1',b'',.,keywords
11/17/2020,CheriJacobus So much for rapid testing and his great and very big Corona response What a loser,b'GSavajian',b'Colorado',.,keywords
11/17/2020,RealCandaceO really said Harry Styles in a dress is the worst thing to happen to America this year as if we arent leading the world in Corona cases and in the middle of a civil rights movement and have a racist sexist and homophobic man as our sitting President,b'Virgo_BuNnyy',b'',.,keywords
11/17/2020,kasie I live in South Dakota and Im worried about the Corona Virus Cant sleep WayTooEarly,b'JRoseWB',"b'HUNKPAPA CAMP, South Dakota '",.,keywords
11/17/2020,The number of Corona cases is increasing a lot and feels like we are back to square one I am really sad I am cheering myself with Domi vs Rafas match tomorrowNittoATPFinals Bamos Vamos,b'krodriguez1021',"b'Seattle, WA'",.,keywords
11/17/2020,Armed and positive for corona dangerous af,b'manuel8824',b'Area 51',.,keywords
11/17/2020,Remember yall Corona virus isnt shutting anything down Viruses cant make choices in that capacity It is PEOPLE choosing not to wear masks and listen to guidelines that causes shutdowns,b'trent__sh',b'',.,keywords
11/17/2020,Does anybody really think theres a viable scenario where Biden is the pushed left and pushes through healthcare reclamation of financial ignorance throughout corona other progressive ideals I dont,b'remmingtonYar',"b'Woodstock, IL'",.,keywords
11/17/2020,Periodic reminder that if I die of corona and Orange is still in office please simply drape my body across the little bitch fence trump has had built in front of the White House,b'squintsNY',"b'Brooklyn, NY'",.,keywords
11/17/2020,thehill Im old enough to remember when you were sipping Corona and mocking mitigation strategies That history leaves you irredeemable IMHO,b'NaanFatKat',"b'Austin TX , Ouray CO'",.,keywords
11/17/2020,TheGoodDoctor is it bad that I have watched any of the other seasons but I heard about the Corona virus episodes and then started watching with the arrival of this season,b'giselle_nieblas',"b'Fontana, CA'",.,keywords
11/17/2020,bofillmarcos realDonaldTrump China virus is the same thing as corona virus and covid Get over it,b'discharendjcj',b'',.,keywords
